TEXT,X1,Y1,X2,Y2,block_no,line_no,page_no
4573828,276,745,303,753,5,1,2
sales.ie@ifm.com,252,753,306,761,5,2,2
Fax,175,745,187,753,5,3,2
E-mail,175,753,195,761,5,4,2
New,59,748,73,756,5,5,2
Nangor,74,748,97,756,5,5,2
Road,99,748,116,756,5,5,2
Clondalkin,59,758,91,765,5,6,2
Sort,334,762,347,770,5,7,2
Code:,349,762,368,770,5,7,2
90-02-01,370,762,398,770,5,7,2
Dublin,59,767,78,775,5,8,2
D22WT44,80,767,112,775,5,8,2
IBAN:,334,770,353,778,5,9,2
IE64BOFI90020121574206,355,770,440,778,5,9,2
Directors:,175,770,205,778,5,10,2
Ireland,59,776,80,784,5,11,2
S.,175,779,182,786,5,12,2
"Kabir,",184,779,202,786,5,12,2
S.,204,779,210,786,5,12,2
Evans,212,779,232,786,5,12,2
BIC:,334,779,348,786,5,13,2
BOFIIE2D,350,779,382,786,5,13,2
www.ifm.com/ie,59,795,107,803,6,0,2
VAT,175,795,188,803,6,1,2
Reg,190,795,202,803,6,1,2
no:,204,795,214,803,6,1,2
IE6547195V,216,795,255,803,6,1,2
Registered,175,804,209,812,6,2,2
in,211,804,216,812,6,2,2
Ireland,218,804,240,812,6,2,2
No:,242,804,253,812,6,2,2
149795,254,804,278,812,6,2,2
We,59,813,67,819,6,3,2
deliver,69,813,88,819,6,3,2
according,90,813,119,819,6,3,2
to,120,813,126,819,6,3,2
our,128,813,137,819,6,3,2
terms,139,813,155,819,6,3,2
and,157,813,168,819,6,3,2
"conditions,",169,813,201,819,6,3,2
see,203,813,213,819,6,3,2
overleaf.,215,813,239,819,6,3,2
Title,59,819,71,826,6,4,2
to,72,819,78,826,6,4,2
the,80,819,89,826,6,4,2
goods,90,819,108,826,6,4,2
remains,110,819,133,826,6,4,2
with,135,819,147,826,6,4,2
ifm,148,819,157,826,6,4,2
electronic,159,819,187,826,6,4,2
Limited,189,819,210,826,6,4,2
until,212,819,225,826,6,4,2
the,226,819,235,826,6,4,2
goods,237,819,255,826,6,4,2
invoiced,257,819,281,826,6,4,2
have,282,819,296,826,6,4,2
been,298,819,312,826,6,4,2
fully,313,819,326,826,6,4,2
paid,327,819,340,826,6,4,2
for.,341,819,351,826,6,4,2
Invoice,54,56,105,72,7,0,2
29050823,470,115,505,124,8,0,2
Invoice,405,115,431,124,8,1,2
no.,433,115,444,124,8,1,2
Copy,59,150,77,159,9,0,2
1,97,150,102,159,9,1,2
Page,113,150,131,159,9,2,2
2,134,150,138,159,9,2,2
5077434,470,125,501,134,10,0,2
/,503,125,505,134,10,0,2
D01370_IE,470,134,510,143,10,1,2
Customer,405,125,440,134,10,2,2
no.,442,125,453,134,10,2,2
15.09.2020,470,144,510,153,11,0,2
Date,405,144,422,153,11,1,2
