TEXT,X1,Y1,X2,Y2,block_no,line_no
49(2102)486-0,90,119,147,130,25,2
·,152,119,154,130,25,2
Telefax,159,119,186,130,25,2
+,190,119,195,130,25,2
49(2102)486-4070,198,119,271,130,25,2
·,276,119,278,130,25,2
www.MitsubishiElectric.de,282,119,382,130,25,2
Your,309,189,327,200,26,0
Order,331,189,351,200,26,0
No.,355,189,368,200,26,0
:,380,189,383,200,26,1
20200309_MP237,394,187,483,201,26,2
Your,309,201,327,212,27,0
Order,331,201,351,212,27,0
Date,355,201,373,212,27,0
:,380,201,383,212,27,1
09.03.2020,394,199,451,213,27,2
Your,309,213,327,224,28,0
VAT,331,213,347,224,28,0
No.,351,213,364,224,28,0
:,380,213,383,224,28,1
IE3244884KH,394,211,461,225,28,2
Invoice,309,225,336,236,29,0
No.,339,225,352,236,29,0
:,380,225,383,236,29,1
51845029,394,223,444,237,29,2
Cust.,309,237,328,248,30,0
Acc.,333,237,350,248,30,0
No.,354,237,367,248,30,0
:,380,237,383,248,30,1
410026947,394,235,450,249,30,2
Invoice,309,249,336,260,31,0
Date,339,249,357,260,31,0
:,380,249,383,260,31,1
19.03.2020,394,247,451,261,31,2
Delivery,309,261,339,272,32,0
Note,343,261,361,272,32,0
No.,365,261,377,272,32,0
:,380,261,383,272,32,0
95680301,394,259,444,273,32,1
Delivery,309,273,339,284,33,0
Date,343,273,360,284,33,0
:,380,273,383,284,33,1
19.03.2020,394,271,451,285,33,2
Order,309,285,330,296,34,0
No.,334,285,346,296,34,0
:,380,285,383,296,34,1
6869153,394,283,438,297,34,2
Order,309,297,330,308,35,0
Date,334,297,351,308,35,0
:,380,297,383,308,35,1
09.03.2020,394,295,451,309,35,2
Person,309,309,334,320,36,0
in,338,309,345,320,36,0
charge,349,309,374,320,36,0
:,380,309,383,320,36,0
Karolina,394,307,432,321,36,1
Kuczek-Czyc,436,307,495,321,36,1
Tel,309,321,321,332,37,0
No.,324,321,337,332,37,0
:,380,321,383,332,37,1
123476585,394,319,450,333,37,2
Our,309,333,323,344,38,0
TAX,327,333,343,344,38,0
No.,347,333,360,344,38,0
:,381,333,383,344,38,0
147/5746/0390,394,331,469,345,38,1
Our,309,345,323,356,39,0
VAT,327,345,343,356,39,0
No.,347,345,360,356,39,0
:,381,345,383,356,39,0
DE812014615,394,343,463,357,39,1
Page:,453,745,478,759,40,0
1,484,745,489,759,40,0
of,495,745,504,759,40,0
2,525,745,530,759,40,0
Ship,50,261,67,272,41,0
to,70,261,78,272,41,0
Address,82,261,112,272,41,0
MPAC,50,271,80,285,41,1
Ltd,84,271,99,285,41,1
Ouragh,50,283,83,297,41,2
"Cross,",89,283,118,297,41,2
Tullow,123,283,153,297,41,2
CARLOW,50,295,93,309,41,3
R93EV90,50,307,94,321,41,4
IRELAND,50,319,92,333,41,5
Invoice,309,159,355,178,42,0
